id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,91,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,157,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,190,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,236,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,139,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,75,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,109,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,65,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,89,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,228,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,106,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,134,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,35,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,125,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,21,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,44,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,18,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,85,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,12,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,49,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,70,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,48,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,46,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,17,ORANG,2019
